Price,# Bedroom,# Bathroom,size(square feet),homeType,address,Date,Today
"$735,000",3,1,1,-,"1147 E 31st St, Brooklyn, NY 11210",NAN,2021-10-19
"$459,000",1,1,7,-,"435 E 57th St APT 2D, New York, NY 10022",NAN,2021-10-19
"$2,250,000",1,2,1,-,"129 W 20th St APT 3A, New York, NY 10011",NAN,2021-10-19
"$9,250,000",3,4,3,-,"1059 3rd Ave #26, New York, NY 10065",NAN,2021-10-19
"$729,000",1,1,-,-,"61 W 62nd St APT 14N, New York, NY 10023",NAN,2021-10-19
"$918,000",3,3,1,-,"25-34 83rd St, East Elmhurst, NY 11370",NAN,2021-10-19
"$1,700,000",8,4,1,-,"1749 63rd St, Brooklyn, NY 11204",NAN,2021-10-19
"$999,000",7,5,4,-,"1159 E 72nd St, Brooklyn, NY 11234",NAN,2021-10-19
"$1,199,000",6,4,3,-,"101 Wallace Ave, Staten Island, NY 10305",NAN,2021-10-19
"$1,180,000",2,2,1,-,"138-35 39th Ave APT 5H, Flushing, NY 11354",NAN,2021-10-19
"$1,590,000",5,8,-,-,"466 54th St, Brooklyn, NY 11220",NAN,2021-10-19
"$775,000",2,2,-,-,"2345 60th St PENTHOUSE A, Brooklyn, NY 11204",NAN,2021-10-19
"$1,399,000",S,1,-,-,"60-37 69th Ln, Maspeth, NY 11378",NAN,2021-10-19
"$479,000",2,1,9,-,"21-41 34th Ave #C4, Astoria, NY 11106",NAN,2021-10-19
"$1,699,000",6,3,2,-,"1738 W 4th St, Brooklyn, NY 11223",NAN,2021-10-19
"$488,000",1,1,5,-,"46-06 88th St #2C, Elmhurst, NY 11373",NAN,2021-10-19
"$330,000",3,1,1,-,"9 Fordham Hill Oval APT 10F, Bronx, NY 10468",NAN,2021-10-19
"$2,600,000",2,3,1,-,"200 E 65th St APT 35E, New York, NY 10065",NAN,2021-10-19
"$1,250,000",1,1,8,-,"200 E 94th St APT 2911, New York, NY 10128",NAN,2021-10-19
"$479,000",1,1,7,-,"415 E 85th St #4AA, New York, NY 10028",NAN,2021-10-19
"$1,038,888",3,3,1,-,"5832 83rd Pl, Flushing, NY 11379",NAN,2021-10-19
"$735,000",3,4,2,-,"50 Garretson Ln, Staten Island, NY 10304",NAN,2021-10-19
"$560,000",2,2,-,-,"6070 Woodhaven Blvd #2F, Elmhurst, NY 11373",NAN,2021-10-19
"$715,000",4,2,1,-,"272 Logan Ave, Bronx, NY 10465",NAN,2021-10-19
"$1,528,000",8,4,2,-,"4188 Denman St, Flushing, NY 11373",NAN,2021-10-19
"$1,150,000",5,3,2,-,"2343 Stillwell Ave, Brooklyn, NY 11223",NAN,2021-10-19
"$2,395,000",3,3,1,-,"56 S 3rd St #2B, Brooklyn, NY 11249",NAN,2021-10-19
"$679,000",3,3,-,-,"114-44 Sutter Ave, South Ozone Park, NY 11420",NAN,2021-10-19
"$449,998",2,1,9,-,"110 Shore Blvd APT 3K, Brooklyn, NY 11235",NAN,2021-10-19
"$1,150,000",6,4,1,-,"1251 Decatur St, Brooklyn, NY 11207",NAN,2021-10-19
"$499,000",2,2,9,-,"3368 Shore Pkwy #2A, Brooklyn, NY 11235",NAN,2021-10-19
"$14,495,000",4,4,3,-,"50 West St PENTHOUSE B58, New York, NY 10006",NAN,2021-10-19
"$875,000",3,2,1,-,"451 Beach 125 St, Rockaway Park, NY 11694",NAN,2021-10-19
"$1,715,000",2,2,1,-,"450 Warren St #4B, Brooklyn, NY 11217",NAN,2021-10-19
"$4,995,000",4,4,2,-,"50 Bridge Park Dr #17A, Brooklyn, NY 11201",NAN,2021-10-19
"$1,149,000",1,1,9,-,"57 Front St APT 301, Brooklyn, NY 11201",NAN,2021-10-19
"$999,000",2,2,1,-,"1409 Pacific St #1, Brooklyn, NY 11216",NAN,2021-10-19
"$1,098,888",3,2,1,-,"1 Bay Club Dr APT 16C, Bayside, NY 11360",NAN,2021-10-19
"$485,000",3,3,1,-,"49B Edgewater Park Park, Bronx, NY 10465",NAN,2021-10-19
"$825,000",1,1,7,-,"61 W 62nd St APT 15F, New York, NY 10023",NAN,2021-10-19
"$2,250,000",3,2,-,-,"205 E 69th St APT 5C, New York, NY 10021",NAN,2021-10-19
"$895,000",1,1,5,-,"205 E 68th St #T4E, New York, NY 10065",NAN,2021-10-19
"$1,660,000",1,2,7,-,"202 Broome St #12D, New York, NY 10002",NAN,2021-10-19
"$978,000",2,2,1,-,"40-26 College Point Blvd #8L, Flushing, NY 11354",NAN,2021-10-19
"$890,000",1,1,6,-,"1212 2nd Ave #10B, New York, NY 10065",NAN,2021-10-19
"$45,000,000",1,2,2,-,"217 W Broadway, New York, NY 10013",NAN,2021-10-19
"$495,000",1,1,7,-,"420 42nd St APT 2F, Brooklyn, NY 11232",NAN,2021-10-19
"$799,999",3,2,1,-,"58-62 206th St, Oakland Gardens, NY 11364",NAN,2021-10-19
"$2,650,000",4,5,4,-,"90 Merrick Ave, Staten Island, NY 10301",NAN,2021-10-19
"$699,000",2,2,1,-,"240-28B Oak Park Dr, Little Neck, NY 11362",NAN,2021-10-19
"$518,888",3,2,1,-,"129 Blythe Pl, Staten Island, NY 10306",NAN,2021-10-19
"$629,000",4,3,-,-,"91-59 88th St, Woodhaven, NY 11421",NAN,2021-10-19
"$1,225,000",5,2,-,-,"60-29 71st Ave, Ridgewood, NY 11385",NAN,2021-10-19
"$2,650,000",4,5,1,-,"90 Merrick Ave, Staten Island, NY 10301",NAN,2021-10-19
"$875,000",3,2,1,-,"451 Beach 125th St, Far Rockaway, NY 11694",NAN,2021-10-19
"$279,900",1,1,9,-,"416 Maryland Ave APT 2A, Staten Island, NY 10305",NAN,2021-10-19
"$299,000",1,1,6,-,"1290 Rockland Ave APT 1G, Staten Island, NY 10314",NAN,2021-10-19
"$858,000",4,2,1,-,"18 Barbey St, Brooklyn, NY 11207",NAN,2021-10-19
"$599,000",3,3,1,-,"3136 Tiemann Ave, Bronx, NY 10469",NAN,2021-10-19
"$1,860,000",8,5,-,-,"23-09 143rd St, Whitestone, NY 11357",NAN,2021-10-19
"$838,000",3,2,1,-,"63-44 78th St, Middle Village, NY 11379",NAN,2021-10-19
"$1,388,000",7,5,-,-,"84-38 Charlecote Rdg, Jamaica, NY 11432",NAN,2021-10-19
"$999,000",6,3,1,-,"2233 W 8th St, Brooklyn, NY 11223",NAN,2021-10-19
"$429,000",2,1,1,-,"2932 W 5th St APT 7G, Brooklyn, NY 11224",NAN,2021-10-19
"$330,000",1,1,6,-,"7119 Shore Rd APT 2B, Brooklyn, NY 11209",NAN,2021-10-19
"$2,249,000",4,4,2,-,"1060 E 21st St, Brooklyn, NY 11210",NAN,2021-10-19
"$217,998",1,1,-,-,"115-25 84th Ave #A4, Richmond Hill, NY 11418",NAN,2021-10-19
"$525,000",1,1,5,-,"240 E 35th St APT 5B, New York, NY 10016",NAN,2021-10-19
"$1,795,000",3,2,2,-,"49 E 1st St APT 2, New York, NY 10003",NAN,2021-10-19
"$629,000",1,1,7,-,"251 E 51st St APT 19N, New York, NY 10022",NAN,2021-10-19
"$425,000",S,1,4,-,"142 E 49th St APT 3D, New York, NY 10017",NAN,2021-10-19
"$799,000",S,1,-,-,"350 Bleecker St APT 1W, New York, NY 10014",NAN,2021-10-19
"$782,000",S,1,4,-,"500 45th St #305, New York, NY 10036",NAN,2021-10-19
"$389,000",S,1,-,-,"457 W 57th St #1015, New York, NY 10019",NAN,2021-10-19
"$199,000",1,1,-,-,"2390 Palisade Ave APT 6G, Bronx, NY 10463",NAN,2021-10-19
"$749,000",2,2,1,-,"31 -85 Crescent Street 20 #205, Queens, NY 11106",NAN,2021-10-19
"$550,000",1,1,6,-,"1175 York Avenue 1d #1D, New York, NY 10021",NAN,2021-10-19
"$850,000",1,1,6,-,"400 E 14th St APT 3D, New York, NY 10009",NAN,2021-10-19
"$1,059,000",2,2,1,-,"201 E 36th St APT 11A, New York, NY 10016",NAN,2021-10-19
"$3,495,000",3,3,-,-,"25 E 86th St #5D, New York, NY 10028",NAN,2021-10-19
"$850,000",1,1,6,-,"400 E 14th St APT 3D, New York, NY 10009",NAN,2021-10-19
"$782,000",S,1,4,-,"500 45th St #305, New York, NY 10036",NAN,2021-10-19
"$814,000",S,1,4,-,"500 45th St #506, New York, NY 10036",NAN,2021-10-19
"$2,300,000",2,2,-,-,"25 E 9th St APT 3B, New York, NY 10003",NAN,2021-10-19
"$239,000",1,1,-,-,"67-12 Yellowstone Blvd #9D, Forest Hills, NY 11375",NAN,2021-10-19
"$729,000",5,2,8,-,"362 Brehaut Ave, Staten Island, NY 10307",NAN,2021-10-19
"$638,800",3,2,1,-,"132-34 82nd St, Ozone Park, NY 11417",NAN,2021-10-19
